Potential applied (V);Time (s);WE(1).Current (A);Index;Current range
-0.899810791015625;2823.00140487261;-3.02032470703125E-05;1;1 mA
-0.899658203125;2823.03192287253;-3.00994873046875E-05;2;1 mA
-0.899505615234375;2823.06244087245;-3.0303955078125E-05;3;1 mA
-0.89935302734375;2823.09295887238;-3.01849365234375E-05;4;1 mA
-0.899200439453125;2823.1234768723;-2.98126220703125E-05;5;1 mA
-0.8990478515625;2823.15399487222;-2.91778564453125E-05;6;1 mA
-0.898895263671875;2823.18451287214;-2.86224365234375E-05;7;1 mA
-0.89874267578125;2823.21503087207;-2.87353515625E-05;8;1 mA
-0.898590087890625;2823.24554887199;-2.87994384765625E-05;9;1 mA
-0.8984375;2823.27606687191;-2.89825439453125E-05;10;1 mA
-0.898284912109375;2823.30658487184;-2.8546142578125E-05;11;1 mA
-0.89813232421875;2823.33710287176;-2.7874755859375E-05;12;1 mA
-0.897979736328125;2823.36762087168;-2.7520751953125E-05;13;1 mA
-0.8978271484375;2823.3981388716;-2.7496337890625E-05;14;1 mA
-0.897674560546875;2823.42865687153;-2.7813720703125E-05;15;1 mA
-0.89752197265625;2823.45917487145;-2.77313232421875E-05;16;1 mA
-0.897369384765625;2823.48969287137;-2.72613525390625E-05;17;1 mA
-0.897216796875;2823.5202108713;-2.66510009765625E-05;18;1 mA
-0.897064208984375;2823.55072887122;-2.62847900390625E-05;19;1 mA
-0.89691162109375;2823.58124687114;-2.63519287109375E-05;20;1 mA
-0.896759033203125;2823.61176487107;-2.65960693359375E-05;21;1 mA
-0.8966064453125;2823.64228287099;-2.657470703125E-05;22;1 mA
-0.896453857421875;2823.67280087091;-2.6025390625E-05;23;1 mA
-0.89630126953125;2823.70331887083;-2.54608154296875E-05;24;1 mA
-0.896148681640625;2823.73383687076;-2.5091552734375E-05;25;1 mA
-0.89599609375;2823.76435487068;-2.52044677734375E-05;26;1 mA
-0.895843505859375;2823.7948728706;-2.53631591796875E-05;27;1 mA
-0.89569091796875;2823.82539087053;-2.535400390625E-05;28;1 mA
-0.895538330078125;2823.85590887045;-2.47100830078125E-05;29;1 mA
-0.8953857421875;2823.88642687037;-2.4310302734375E-05;30;1 mA
-0.895233154296875;2823.9169448703;-2.388916015625E-05;31;1 mA
-0.89508056640625;2823.94746287022;-2.41912841796875E-05;32;1 mA
-0.894927978515625;2823.97798087014;-2.42919921875E-05;33;1 mA
-0.894775390625;2824.00849887006;-2.42889404296875E-05;34;1 mA
-0.894622802734375;2824.03901686999;-2.37335205078125E-05;35;1 mA
-0.89447021484375;2824.06953486991;-2.32818603515625E-05;36;1 mA
-0.894317626953125;2824.10005286983;-2.28973388671875E-05;37;1 mA
-0.8941650390625;2824.13057086976;-2.3046875E-05;38;1 mA
-0.894012451171875;2824.16108886968;-2.32818603515625E-05;39;1 mA
-0.89385986328125;2824.1916068696;-2.3126220703125E-05;40;1 mA
-0.893707275390625;2824.22212486952;-2.26531982421875E-05;41;1 mA
-0.8935546875;2824.25264286945;-2.2174072265625E-05;42;1 mA
-0.893402099609375;2824.28316086937;-2.18414306640625E-05;43;1 mA
-0.89324951171875;2824.31367886929;-2.20916748046875E-05;44;1 mA
-0.893096923828125;2824.34419686922;-2.2161865234375E-05;45;1 mA
-0.8929443359375;2824.37471486914;-2.20367431640625E-05;46;1 mA
-0.892791748046875;2824.40523286906;-2.1502685546875E-05;47;1 mA
-0.89263916015625;2824.43575086899;-2.09747314453125E-05;48;1 mA
-0.892486572265625;2824.46626886891;-2.0843505859375E-05;49;1 mA
-0.892333984375;2824.49678686883;-2.09991455078125E-05;50;1 mA
-0.892181396484375;2824.52730486875;-2.10906982421875E-05;51;1 mA
-0.89202880859375;2824.55782286868;-2.11334228515625E-05;52;1 mA
-0.891876220703125;2824.5883408686;-2.0501708984375E-05;53;1 mA
-0.8917236328125;2824.61885886852;-2.0074462890625E-05;54;1 mA
-0.891571044921875;2824.64937686845;-1.993408203125E-05;55;1 mA
-0.89141845703125;2824.67989486837;-2.01171875E-05;56;1 mA
-0.891265869140625;2824.71041286829;-2.0208740234375E-05;57;1 mA
-0.89111328125;2824.74093086821;-1.99798583984375E-05;58;1 mA
-0.890960693359375;2824.77144886814;-1.94183349609375E-05;59;1 mA
-0.89080810546875;2824.80196686806;-1.90155029296875E-05;60;1 mA
-0.890655517578125;2824.83248486798;-1.88201904296875E-05;61;1 mA
-0.8905029296875;2824.86300286791;-1.90399169921875E-05;62;1 mA
-0.890350341796875;2824.89352086783;-1.923828125E-05;63;1 mA
-0.89019775390625;2824.92403886775;-1.9000244140625E-05;64;1 mA
-0.890045166015625;2824.95455686768;-1.83258056640625E-05;65;1 mA
-0.889892578125;2824.9850748676;-1.79290771484375E-05;66;1 mA
-0.889739990234375;2825.01559286752;-1.77642822265625E-05;67;1 mA
-0.88958740234375;2825.04611086744;-1.81793212890625E-05;68;1 mA
-0.889434814453125;2825.07662886737;-1.82220458984375E-05;69;1 mA
-0.8892822265625;2825.10714686729;-1.8060302734375E-05;70;1 mA
-0.889129638671875;2825.13766486721;-1.737060546875E-05;71;1 mA
