Potential applied (V);Time (s);WE(1).Current (A);Index;Current range
0.19989013671875;723.328490173771;4.74853515625E-06;1;1 mA
0.199737548828125;723.359008173694;4.5928955078125E-06;2;1 mA
0.1995849609375;723.389526173617;4.33349609375E-06;3;1 mA
0.199432373046875;723.42004417354;4.351806640625E-06;4;1 mA
0.19927978515625;723.450562173463;4.302978515625E-06;5;1 mA
0.199127197265625;723.481080173386;4.52270507812499E-06;6;1 mA
0.198974609375;723.511598173309;4.4525146484375E-06;7;1 mA
0.198822021484375;723.542116173232;4.43115234374999E-06;8;1 mA
0.19866943359375;723.572634173155;4.09851074218751E-06;9;1 mA
0.198516845703125;723.603152173078;4.12597656249999E-06;10;1 mA
0.1983642578125;723.633670173001;4.1015625E-06;11;1 mA
0.198211669921875;723.664188172924;4.425048828125E-06;12;1 mA
0.19805908203125;723.694706172847;4.33959960937499E-06;13;1 mA
0.197906494140625;723.725224172769;4.241943359375E-06;14;1 mA
0.19775390625;723.755742172692;4.0008544921875E-06;15;1 mA
0.197601318359375;723.786260172615;4.058837890625E-06;16;1 mA
0.19744873046875;723.816778172538;4.05273437500001E-06;17;1 mA
0.197296142578125;723.847296172461;4.30908203124999E-06;18;1 mA
0.1971435546875;723.877814172384;4.22058105468751E-06;19;1 mA
0.196990966796875;723.908332172307;4.241943359375E-06;20;1 mA
0.19683837890625;723.93885017223;3.9825439453125E-06;21;1 mA
0.196685791015625;723.969368172153;4.107666015625E-06;22;1 mA
0.196533203125;723.999886172076;3.997802734375E-06;23;1 mA
0.196380615234375;724.030404171999;4.17175292968749E-06;24;1 mA
0.19622802734375;724.060922171922;4.11376953125001E-06;25;1 mA
0.196075439453125;724.091440171845;4.19006347656251E-06;26;1 mA
0.1959228515625;724.121958171768;3.91845703125E-06;27;1 mA
0.195770263671875;724.152476171691;3.9093017578125E-06;28;1 mA
0.19561767578125;724.182994171614;3.85131835937499E-06;29;1 mA
0.195465087890625;724.213512171537;4.0740966796875E-06;30;1 mA
0.1953125;724.24403017146;4.03747558593751E-06;31;1 mA
0.195159912109375;724.274548171383;4.05273437500001E-06;32;1 mA
0.19500732421875;724.305066171306;3.8177490234375E-06;33;1 mA
0.194854736328125;724.335584171228;3.8330078125E-06;34;1 mA
0.1947021484375;724.366102171151;3.77807617187501E-06;35;1 mA
0.194549560546875;724.396620171074;4.06494140624999E-06;36;1 mA
0.19439697265625;724.427138170997;3.8787841796875E-06;37;1 mA
0.194244384765625;724.45765617092;3.90625E-06;38;1 mA
0.194091796875;724.488174170843;3.76281738281251E-06;39;1 mA
0.193939208984375;724.518692170766;3.67431640625E-06;40;1 mA
0.19378662109375;724.549210170689;3.765869140625E-06;41;1 mA
0.193634033203125;724.579728170612;3.83605957031249E-06;42;1 mA
0.1934814453125;724.610246170535;3.887939453125E-06;43;1 mA
0.193328857421875;724.640764170458;3.765869140625E-06;44;1 mA
0.19317626953125;724.671282170381;3.73229980468751E-06;45;1 mA
0.193023681640625;724.701800170304;3.5888671875E-06;46;1 mA
0.19287109375;724.732318170227;3.77197265625E-06;47;1 mA
0.192718505859375;724.76283617015;3.7567138671875E-06;48;1 mA
0.19256591796875;724.793354170073;3.84521484375E-06;49;1 mA
0.192413330078125;724.823872169996;3.753662109375E-06;50;1 mA
0.1922607421875;724.854390169919;3.7078857421875E-06;51;1 mA
0.192108154296875;724.884908169842;3.5125732421875E-06;52;1 mA
0.19195556640625;724.915426169764;3.6651611328125E-06;53;1 mA
0.191802978515625;724.945944169687;3.67126464843751E-06;54;1 mA
0.191650390625;724.97646216961;3.692626953125E-06;55;1 mA
