Potential applied (V);Time (s);WE(1).Current (A);Index;Current range
-0.899810791015625;443.293665880791;-3.16253662109375E-05;1;1 mA
-0.899658203125;443.324183880714;-3.1597900390625E-05;2;1 mA
-0.899505615234375;443.354701880637;-3.16436767578125E-05;3;1 mA
-0.89935302734375;443.38521988056;-3.17535400390625E-05;4;1 mA
-0.899200439453125;443.415737880483;-3.16131591796875E-05;5;1 mA
-0.8990478515625;443.446255880406;-3.15155029296875E-05;6;1 mA
-0.898895263671875;443.476773880329;-3.1121826171875E-05;7;1 mA
-0.89874267578125;443.507291880252;-3.10455322265625E-05;8;1 mA
-0.898590087890625;443.537809880175;-3.11248779296875E-05;9;1 mA
-0.8984375;443.568327880098;-3.13201904296875E-05;10;1 mA
-0.898284912109375;443.598845880021;-3.12042236328125E-05;11;1 mA
-0.89813232421875;443.629363879944;-3.09539794921875E-05;12;1 mA
-0.897979736328125;443.659881879866;-3.07525634765625E-05;13;1 mA
-0.8978271484375;443.690399879789;-3.05328369140625E-05;14;1 mA
-0.897674560546875;443.720917879712;-3.06793212890625E-05;15;1 mA
-0.89752197265625;443.751435879635;-3.09112548828125E-05;16;1 mA
-0.897369384765625;443.781953879558;-3.0804443359375E-05;17;1 mA
-0.897216796875;443.812471879481;-3.05816650390625E-05;18;1 mA
-0.897064208984375;443.842989879404;-3.0291748046875E-05;19;1 mA
-0.89691162109375;443.873507879327;-3.0255126953125E-05;20;1 mA
-0.896759033203125;443.90402587925;-3.0401611328125E-05;21;1 mA
-0.8966064453125;443.934543879173;-3.06121826171875E-05;22;1 mA
-0.896453857421875;443.965061879096;-3.0389404296875E-05;23;1 mA
-0.89630126953125;443.995579879019;-3.03741455078125E-05;24;1 mA
-0.896148681640625;444.026097878942;-3.01116943359375E-05;25;1 mA
-0.89599609375;444.056615878865;-3.0029296875E-05;26;1 mA
-0.895843505859375;444.087133878788;-2.98614501953125E-05;27;1 mA
-0.89569091796875;444.117651878711;-3.01300048828125E-05;28;1 mA
-0.895538330078125;444.148169878634;-3.01422119140625E-05;29;1 mA
-0.8953857421875;444.178687878557;-2.99957275390625E-05;30;1 mA
-0.895233154296875;444.20920587848;-2.9571533203125E-05;31;1 mA
-0.89508056640625;444.239723878403;-2.969970703125E-05;32;1 mA
-0.894927978515625;444.270241878325;-2.9437255859375E-05;33;1 mA
-0.894775390625;444.300759878248;-2.96356201171875E-05;34;1 mA
-0.894622802734375;444.331277878171;-2.94647216796875E-05;35;1 mA
-0.89447021484375;444.361795878094;-2.95196533203125E-05;36;1 mA
-0.894317626953125;444.392313878017;-2.94830322265625E-05;37;1 mA
-0.8941650390625;444.42283187794;-3.01849365234375E-05;38;1 mA
-0.894012451171875;444.453349877863;-3.0279541015625E-05;39;1 mA
-0.89385986328125;444.483867877786;-2.9833984375E-05;40;1 mA
-0.893707275390625;444.514385877709;-2.9290771484375E-05;41;1 mA
-0.8935546875;444.544903877632;-2.9071044921875E-05;42;1 mA
-0.893402099609375;444.575421877555;-2.90008544921875E-05;43;1 mA
-0.89324951171875;444.605939877478;-2.89306640625E-05;44;1 mA
-0.893096923828125;444.636457877401;-2.8851318359375E-05;45;1 mA
-0.8929443359375;444.666975877324;-2.911376953125E-05;46;1 mA
-0.892791748046875;444.697493877247;-2.894287109375E-05;47;1 mA
-0.89263916015625;444.72801187717;-2.91229248046875E-05;48;1 mA
-0.892486572265625;444.758529877093;-2.89154052734375E-05;49;1 mA
-0.892333984375;444.789047877016;-2.87322998046875E-05;50;1 mA
-0.892181396484375;444.819565876939;-2.84820556640625E-05;51;1 mA
-0.89202880859375;444.850083876862;-2.87109375E-05;52;1 mA
-0.891876220703125;444.880601876784;-2.87017822265625E-05;53;1 mA
-0.8917236328125;444.911119876707;-2.85797119140625E-05;54;1 mA
-0.891571044921875;444.94163787663;-2.799072265625E-05;55;1 mA
-0.89141845703125;444.972155876553;-2.7935791015625E-05;56;1 mA
-0.891265869140625;445.002673876476;-2.8033447265625E-05;57;1 mA
-0.89111328125;445.033191876399;-2.80914306640625E-05;58;1 mA
-0.890960693359375;445.063709876322;-2.813720703125E-05;59;1 mA
-0.89080810546875;445.094227876245;-2.79571533203125E-05;60;1 mA
-0.890655517578125;445.124745876168;-2.79205322265625E-05;61;1 mA
-0.8905029296875;445.155263876091;-2.791748046875E-05;62;1 mA
-0.890350341796875;445.185781876014;-2.79815673828125E-05;63;1 mA
-0.89019775390625;445.216299875937;-2.794189453125E-05;64;1 mA
-0.890045166015625;445.24681787586;-2.79266357421875E-05;65;1 mA
-0.889892578125;445.277335875783;-2.79998779296875E-05;66;1 mA
-0.889739990234375;445.307853875706;-2.762451171875E-05;67;1 mA
-0.88958740234375;445.338371875629;-2.7752685546875E-05;68;1 mA
-0.889434814453125;445.368889875552;-2.78076171875E-05;69;1 mA
-0.8892822265625;445.399407875475;-2.77374267578125E-05;70;1 mA
-0.889129638671875;445.429925875398;-2.75054931640625E-05;71;1 mA
-0.88897705078125;445.46044387532;-2.762451171875E-05;72;1 mA
-0.888824462890625;445.490961875243;-2.73101806640625E-05;73;1 mA
-0.888671875;445.521479875166;-2.71820068359375E-05;74;1 mA
-0.888519287109375;445.551997875089;-2.72125244140625E-05;75;1 mA
-0.88836669921875;445.582515875012;-2.72918701171875E-05;76;1 mA
-0.888214111328125;445.613033874935;-2.7239990234375E-05;77;1 mA
-0.8880615234375;445.643551874858;-2.72369384765625E-05;78;1 mA
-0.887908935546875;445.674069874781;-2.70050048828125E-05;79;1 mA
-0.88775634765625;445.704587874704;-2.703857421875E-05;80;1 mA
-0.887603759765625;445.735105874627;-2.70477294921875E-05;81;1 mA
-0.887451171875;445.76562387455;-2.72003173828125E-05;82;1 mA
-0.887298583984375;445.796141874473;-2.6947021484375E-05;83;1 mA
-0.88714599609375;445.826659874396;-2.6751708984375E-05;84;1 mA
-0.886993408203125;445.857177874319;-2.66876220703125E-05;85;1 mA
-0.8868408203125;445.887695874242;-2.66265869140625E-05;86;1 mA
-0.886688232421875;445.918213874165;-2.66845703125E-05;87;1 mA
-0.88653564453125;445.948731874088;-2.67608642578125E-05;88;1 mA
