Potential applied (V);Time (s);WE(1).Current (A);Index;Current range
-0.899810791015625;633.804113399798;-3.01116943359375E-05;1;1 mA
-0.899658203125;633.834631399721;-2.98126220703125E-05;2;1 mA
-0.899505615234375;633.865149399644;-2.9681396484375E-05;3;1 mA
-0.89935302734375;633.895667399567;-2.93975830078125E-05;4;1 mA
-0.899200439453125;633.92618539949;-2.9168701171875E-05;5;1 mA
-0.8990478515625;633.956703399413;-2.8839111328125E-05;6;1 mA
-0.898895263671875;633.987221399336;-2.861328125E-05;7;1 mA
-0.89874267578125;634.017739399259;-2.83477783203125E-05;8;1 mA
-0.898590087890625;634.048257399182;-2.8167724609375E-05;9;1 mA
-0.8984375;634.078775399105;-2.7813720703125E-05;10;1 mA
-0.898284912109375;634.109293399028;-2.7825927734375E-05;11;1 mA
-0.89813232421875;634.139811398951;-2.745361328125E-05;12;1 mA
-0.897979736328125;634.170329398874;-2.744140625E-05;13;1 mA
-0.8978271484375;634.200847398797;-2.6983642578125E-05;14;1 mA
-0.897674560546875;634.23136539872;-2.6763916015625E-05;15;1 mA
-0.89752197265625;634.261883398643;-2.6519775390625E-05;16;1 mA
-0.897369384765625;634.292401398566;-2.65411376953125E-05;17;1 mA
-0.897216796875;634.322919398489;-2.62542724609375E-05;18;1 mA
-0.897064208984375;634.353437398412;-2.6031494140625E-05;19;1 mA
-0.89691162109375;634.383955398334;-2.57354736328125E-05;20;1 mA
-0.896759033203125;634.414473398257;-2.56378173828125E-05;21;1 mA
-0.8966064453125;634.44499139818;-2.5384521484375E-05;22;1 mA
-0.896453857421875;634.475509398103;-2.5372314453125E-05;23;1 mA
-0.89630126953125;634.506027398026;-2.489013671875E-05;24;1 mA
-0.896148681640625;634.536545397949;-2.48809814453125E-05;25;1 mA
-0.89599609375;634.567063397872;-2.4609375E-05;26;1 mA
-0.895843505859375;634.597581397795;-2.4468994140625E-05;27;1 mA
-0.89569091796875;634.628099397718;-2.42340087890625E-05;28;1 mA
-0.895538330078125;634.658617397641;-2.41546630859375E-05;29;1 mA
-0.8953857421875;634.689135397564;-2.38525390625E-05;30;1 mA
-0.895233154296875;634.719653397487;-2.371826171875E-05;31;1 mA
-0.89508056640625;634.75017139741;-2.3455810546875E-05;32;1 mA
-0.894927978515625;634.780689397333;-2.32879638671875E-05;33;1 mA
-0.894775390625;634.811207397256;-2.30987548828125E-05;34;1 mA
-0.894622802734375;634.841725397179;-2.28668212890625E-05;35;1 mA
-0.89447021484375;634.872243397102;-2.26226806640625E-05;36;1 mA
-0.894317626953125;634.902761397025;-2.252197265625E-05;37;1 mA
-0.8941650390625;634.933279396948;-2.21893310546875E-05;38;1 mA
-0.894012451171875;634.963797396871;-2.20306396484375E-05;39;1 mA
-0.89385986328125;634.994315396793;-2.19635009765625E-05;40;1 mA
-0.893707275390625;635.024833396716;-2.193603515625E-05;41;1 mA
-0.8935546875;635.055351396639;-2.164306640625E-05;42;1 mA
-0.893402099609375;635.085869396562;-2.15972900390625E-05;43;1 mA
-0.89324951171875;635.116387396485;-2.1246337890625E-05;44;1 mA
-0.893096923828125;635.146905396408;-2.1063232421875E-05;45;1 mA
-0.8929443359375;635.177423396331;-2.0904541015625E-05;46;1 mA
-0.892791748046875;635.207941396254;-2.0843505859375E-05;47;1 mA
-0.89263916015625;635.238459396177;-2.0513916015625E-05;48;1 mA
-0.892486572265625;635.2689773961;-2.04742431640625E-05;49;1 mA
-0.892333984375;635.299495396023;-2.01995849609375E-05;50;1 mA
-0.892181396484375;635.330013395946;-2.01904296875E-05;51;1 mA
-0.89202880859375;635.360531395869;-1.99493408203125E-05;52;1 mA
-0.891876220703125;635.391049395792;-1.976318359375E-05;53;1 mA
-0.8917236328125;635.421567395715;-1.9415283203125E-05;54;1 mA
-0.891571044921875;635.452085395638;-1.932373046875E-05;55;1 mA
-0.89141845703125;635.482603395561;-1.9256591796875E-05;56;1 mA
-0.891265869140625;635.513121395484;-1.90032958984375E-05;57;1 mA
-0.89111328125;635.543639395407;-1.8817138671875E-05;58;1 mA
-0.890960693359375;635.57415739533;-1.86492919921875E-05;59;1 mA
-0.89080810546875;635.604675395252;-1.84326171875E-05;60;1 mA
-0.890655517578125;635.635193395175;-1.83013916015625E-05;61;1 mA
-0.8905029296875;635.665711395098;-1.81732177734375E-05;62;1 mA
-0.890350341796875;635.696229395021;-1.78558349609375E-05;63;1 mA
-0.89019775390625;635.726747394944;-1.77398681640625E-05;64;1 mA
-0.890045166015625;635.757265394867;-1.76025390625E-05;65;1 mA
-0.889892578125;635.78778339479;-1.7486572265625E-05;66;1 mA
-0.889739990234375;635.818301394713;-1.7236328125E-05;67;1 mA
-0.88958740234375;635.848819394636;-1.71051025390625E-05;68;1 mA
-0.889434814453125;635.879337394559;-1.68487548828125E-05;69;1 mA
-0.8892822265625;635.909855394482;-1.68701171875E-05;70;1 mA
-0.889129638671875;635.940373394405;-1.66290283203125E-05;71;1 mA
-0.88897705078125;635.970891394328;-1.63970947265625E-05;72;1 mA
-0.888824462890625;636.001409394251;-1.6162109375E-05;73;1 mA
-0.888671875;636.031927394174;-1.60919189453125E-05;74;1 mA
-0.888519287109375;636.062445394097;-1.5728759765625E-05;75;1 mA
-0.88836669921875;636.09296339402;-1.57440185546875E-05;76;1 mA
-0.888214111328125;636.123481393943;-1.5521240234375E-05;77;1 mA
-0.8880615234375;636.153999393866;-1.551513671875E-05;78;1 mA
-0.887908935546875;636.184517393789;-1.50115966796875E-05;79;1 mA
-0.88775634765625;636.215035393711;-1.5093994140625E-05;80;1 mA
-0.887603759765625;636.245553393634;-1.48681640625E-05;81;1 mA
-0.887451171875;636.276071393557;-1.46514892578125E-05;82;1 mA
-0.887298583984375;636.30658939348;-1.45751953125E-05;83;1 mA
-0.88714599609375;636.337107393403;-1.429443359375E-05;84;1 mA
-0.886993408203125;636.367625393326;-1.42120361328125E-05;85;1 mA
-0.8868408203125;636.398143393249;-1.39678955078125E-05;86;1 mA
-0.886688232421875;636.428661393172;-1.38214111328125E-05;87;1 mA
-0.88653564453125;636.459179393095;-1.37725830078125E-05;88;1 mA
-0.886383056640625;636.489697393018;-1.3470458984375E-05;89;1 mA
-0.88623046875;636.520215392941;-1.33819580078125E-05;90;1 mA
-0.886077880859375;636.550733392864;-1.31683349609375E-05;91;1 mA
-0.88592529296875;636.581251392787;-1.3128662109375E-05;92;1 mA
-0.885772705078125;636.61176939271;-1.2939453125E-05;93;1 mA
-0.8856201171875;636.642287392633;-1.2738037109375E-05;94;1 mA
-0.885467529296875;636.672805392556;-1.260986328125E-05;95;1 mA
-0.88531494140625;636.703323392479;-1.23626708984375E-05;96;1 mA
-0.885162353515625;636.733841392402;-1.22100830078125E-05;97;1 mA
-0.885009765625;636.764359392325;-1.21490478515625E-05;98;1 mA
-0.884857177734375;636.794877392247;-1.19140625E-05;99;1 mA
-0.88470458984375;636.82539539217;-1.17218017578125E-05;100;1 mA
-0.884552001953125;636.855913392093;-1.18194580078125E-05;101;1 mA
-0.8843994140625;636.886431392016;-1.1505126953125E-05;102;1 mA
-0.884246826171875;636.916949391939;-1.12762451171875E-05;103;1 mA
-0.88409423828125;636.947467391862;-1.1102294921875E-05;104;1 mA
-0.883941650390625;636.977985391785;-1.09619140625E-05;105;1 mA
-0.8837890625;637.008503391708;-1.11053466796875E-05;106;1 mA
-0.883636474609375;637.039021391631;-1.07574462890625E-05;107;1 mA
-0.88348388671875;637.069539391554;-1.05712890625E-05;108;1 mA
-0.883331298828125;637.100057391477;-1.038818359375E-05;109;1 mA
-0.8831787109375;637.1305753914;-1.02813720703125E-05;110;1 mA
-0.883026123046875;637.161093391323;-1.0211181640625E-05;111;1 mA
-0.88287353515625;637.191611391246;-1.009521484375E-05;112;1 mA
-0.882720947265625;637.222129391169;-9.99755859375E-06;113;1 mA
-0.882568359375;637.252647391092;-9.89990234375E-06;114;1 mA
-0.882415771484375;637.283165391015;-9.6710205078125E-06;115;1 mA
-0.88226318359375;637.313683390938;-9.53369140625E-06;116;1 mA
-0.882110595703125;637.344201390861;-9.3658447265625E-06;117;1 mA
-0.8819580078125;637.374719390784;-9.3505859375E-06;118;1 mA
-0.881805419921875;637.405237390706;-9.075927734375E-06;119;1 mA
-0.88165283203125;637.435755390629;-9.10034179687499E-06;120;1 mA
-0.881500244140625;637.466273390552;-8.7005615234375E-06;121;1 mA
-0.88134765625;637.496791390475;-8.740234375E-06;122;1 mA
-0.881195068359375;637.527309390398;-8.642578125E-06;123;1 mA
-0.88104248046875;637.557827390321;-8.392333984375E-06;124;1 mA
-0.880889892578125;637.588345390244;-8.2122802734375E-06;125;1 mA
-0.8807373046875;637.618863390167;-8.1329345703125E-06;126;1 mA
-0.880584716796875;637.64938139009;-7.91015624999999E-06;127;1 mA
-0.88043212890625;637.679899390013;-7.8277587890625E-06;128;1 mA
-0.880279541015625;637.710417389936;-7.5714111328125E-06;129;1 mA
-0.880126953125;637.740935389859;-7.6568603515625E-06;130;1 mA
-0.879974365234375;637.771453389782;-7.45849609375E-06;131;1 mA
-0.87982177734375;637.801971389705;-7.159423828125E-06;132;1 mA
-0.879669189453125;637.832489389628;-7.05566406249999E-06;133;1 mA
-0.8795166015625;637.863007389551;-7.14111328125E-06;134;1 mA
-0.879364013671875;637.893525389474;-6.9000244140625E-06;135;1 mA
-0.87921142578125;637.924043389397;-6.884765625E-06;136;1 mA
-0.879058837890625;637.95456138932;-6.50939941406251E-06;137;1 mA
-0.87890625;637.985079389243;-6.44836425781251E-06;138;1 mA
-0.878753662109375;638.015597389165;-6.121826171875E-06;139;1 mA
-0.87860107421875;638.046115389088;-6.3140869140625E-06;140;1 mA
-0.878448486328125;638.076633389011;-6.07910156249999E-06;141;1 mA
-0.8782958984375;638.107151388934;-6.024169921875E-06;142;1 mA
-0.878143310546875;638.137669388857;-5.8624267578125E-06;143;1 mA
-0.87799072265625;638.16818738878;-5.74340820312499E-06;144;1 mA
-0.877838134765625;638.198705388703;-5.572509765625E-06;145;1 mA
-0.877685546875;638.229223388626;-5.401611328125E-06;146;1 mA
-0.877532958984375;638.259741388549;-5.27038574218749E-06;147;1 mA
-0.87738037109375;638.290259388472;-5.15136718750001E-06;148;1 mA
-0.877227783203125;638.320777388395;-5.035400390625E-06;149;1 mA
-0.8770751953125;638.351295388318;-4.89501953125E-06;150;1 mA
-0.876922607421875;638.381813388241;-4.76989746093751E-06;151;1 mA
-0.87677001953125;638.412331388164;-4.61730957031251E-06;152;1 mA
-0.876617431640625;638.442849388087;-4.51049804687501E-06;153;1 mA
-0.87646484375;638.47336738801;-4.3670654296875E-06;154;1 mA
-0.876312255859375;638.503885387933;-4.3304443359375E-06;155;1 mA
-0.87615966796875;638.534403387856;-4.04968261718749E-06;156;1 mA
-0.876007080078125;638.564921387779;-4.08020019531249E-06;157;1 mA
-0.8758544921875;638.595439387702;-3.863525390625E-06;158;1 mA
-0.875701904296875;638.625957387624;-3.765869140625E-06;159;1 mA
-0.87554931640625;638.656475387547;-3.741455078125E-06;160;1 mA
-0.875396728515625;638.68699338747;-3.497314453125E-06;161;1 mA
-0.875244140625;638.717511387393;-3.40881347656249E-06;162;1 mA
-0.875091552734375;638.748029387316;-3.5247802734375E-06;163;1 mA
-0.87493896484375;638.778547387239;-3.2684326171875E-06;164;1 mA
-0.874786376953125;638.809065387162;-3.1585693359375E-06;165;1 mA
-0.8746337890625;638.839583387085;-2.95410156250001E-06;166;1 mA
-0.874481201171875;638.870101387008;-2.838134765625E-06;167;1 mA
-0.87432861328125;638.900619386931;-2.6824951171875E-06;168;1 mA
-0.874176025390625;638.931137386854;-2.5634765625E-06;169;1 mA
