Potential applied (V);Time (s);WE(1).Current (A);Index;Current range
-0.899810791015625;1323.58248065828;-1.314697265625E-05;1;1 mA
-0.899658203125;1323.6129986582;-1.297607421875E-05;2;1 mA
-0.899505615234375;1323.64351665812;-1.278076171875E-05;3;1 mA
-0.89935302734375;1323.67403465804;-1.27227783203125E-05;4;1 mA
-0.899200439453125;1323.70455265797;-1.26739501953125E-05;5;1 mA
-0.8990478515625;1323.73507065789;-1.25701904296875E-05;6;1 mA
-0.898895263671875;1323.76558865781;-1.24420166015625E-05;7;1 mA
-0.89874267578125;1323.79610665774;-1.22711181640625E-05;8;1 mA
-0.898590087890625;1323.82662465766;-1.23626708984375E-05;9;1 mA
-0.8984375;1323.85714265758;-1.21185302734375E-05;10;1 mA
-0.898284912109375;1323.88766065751;-1.22406005859375E-05;11;1 mA
-0.89813232421875;1323.91817865743;-1.190185546875E-05;12;1 mA
-0.897979736328125;1323.94869665735;-1.19171142578125E-05;13;1 mA
-0.8978271484375;1323.97921465727;-1.1895751953125E-05;14;1 mA
-0.897674560546875;1324.0097326572;-1.1810302734375E-05;15;1 mA
-0.89752197265625;1324.04025065712;-1.16485595703125E-05;16;1 mA
-0.897369384765625;1324.07076865704;-1.1663818359375E-05;17;1 mA
-0.897216796875;1324.10128665697;-1.15509033203125E-05;18;1 mA
-0.897064208984375;1324.13180465689;-1.14837646484375E-05;19;1 mA
-0.89691162109375;1324.16232265681;-1.13433837890625E-05;20;1 mA
-0.896759033203125;1324.19284065673;-1.1260986328125E-05;21;1 mA
-0.8966064453125;1324.22335865666;-1.121826171875E-05;22;1 mA
-0.896453857421875;1324.25387665658;-1.11328125E-05;23;1 mA
-0.89630126953125;1324.2843946565;-1.10382080078125E-05;24;1 mA
-0.896148681640625;1324.31491265643;-1.0992431640625E-05;25;1 mA
-0.89599609375;1324.34543065635;-1.0736083984375E-05;26;1 mA
-0.895843505859375;1324.37594865627;-1.0784912109375E-05;27;1 mA
-0.89569091796875;1324.4064666562;-1.06475830078125E-05;28;1 mA
-0.895538330078125;1324.43698465612;-1.07696533203125E-05;29;1 mA
-0.8953857421875;1324.46750265604;-1.0443115234375E-05;30;1 mA
-0.895233154296875;1324.49802065596;-1.04461669921875E-05;31;1 mA
-0.89508056640625;1324.52853865589;-1.03485107421875E-05;32;1 mA
-0.894927978515625;1324.55905665581;-1.046142578125E-05;33;1 mA
-0.894775390625;1324.58957465573;-1.02996826171875E-05;34;1 mA
-0.894622802734375;1324.62009265566;-1.0394287109375E-05;35;1 mA
-0.89447021484375;1324.65061065558;-1.00433349609375E-05;36;1 mA
-0.894317626953125;1324.6811286555;-1.01348876953125E-05;37;1 mA
-0.8941650390625;1324.71164665542;-9.9822998046875E-06;38;1 mA
-0.894012451171875;1324.74216465535;-9.82666015625E-06;39;1 mA
-0.89385986328125;1324.77268265527;-1.004638671875E-05;40;1 mA
-0.893707275390625;1324.80320065519;-9.82055664062501E-06;41;1 mA
-0.8935546875;1324.83371865512;-9.62219238281251E-06;42;1 mA
-0.893402099609375;1324.86423665504;-9.5367431640625E-06;43;1 mA
-0.89324951171875;1324.89475465496;-9.5550537109375E-06;44;1 mA
-0.893096923828125;1324.92527265489;-9.5855712890625E-06;45;1 mA
-0.8929443359375;1324.95579065481;-9.54284667968749E-06;46;1 mA
-0.892791748046875;1324.98630865473;-9.54589843750001E-06;47;1 mA
-0.89263916015625;1325.01682665465;-9.14306640625E-06;48;1 mA
-0.892486572265625;1325.04734465458;-9.22546386718751E-06;49;1 mA
-0.892333984375;1325.0778626545;-9.11560058593749E-06;50;1 mA
-0.892181396484375;1325.10838065442;-9.0972900390625E-06;51;1 mA
-0.89202880859375;1325.13889865435;-9.05761718750001E-06;52;1 mA
-0.891876220703125;1325.16941665427;-8.8958740234375E-06;53;1 mA
-0.8917236328125;1325.19993465419;-8.807373046875E-06;54;1 mA
-0.891571044921875;1325.23045265411;-8.77685546875E-06;55;1 mA
-0.89141845703125;1325.26097065404;-8.575439453125E-06;56;1 mA
-0.891265869140625;1325.29148865396;-8.6822509765625E-06;57;1 mA
-0.89111328125;1325.32200665388;-8.6273193359375E-06;58;1 mA
-0.890960693359375;1325.35252465381;-8.404541015625E-06;59;1 mA
-0.89080810546875;1325.38304265373;-8.37097167968751E-06;60;1 mA
-0.890655517578125;1325.41356065365;-8.2366943359375E-06;61;1 mA
-0.8905029296875;1325.44407865358;-8.26416015625001E-06;62;1 mA
-0.890350341796875;1325.4745966535;-8.26110839843749E-06;63;1 mA
-0.89019775390625;1325.50511465342;-8.23974609375E-06;64;1 mA
-0.890045166015625;1325.53563265334;-8.0108642578125E-06;65;1 mA
-0.889892578125;1325.56615065327;-7.952880859375E-06;66;1 mA
-0.889739990234375;1325.59666865319;-7.965087890625E-06;67;1 mA
-0.88958740234375;1325.62718665311;-7.7850341796875E-06;68;1 mA
-0.889434814453125;1325.65770465304;-7.81860351562499E-06;69;1 mA
-0.8892822265625;1325.68822265296;-7.80029296875E-06;70;1 mA
-0.889129638671875;1325.71874065288;-7.65380859375001E-06;71;1 mA
-0.88897705078125;1325.7492586528;-7.5653076171875E-06;72;1 mA
-0.888824462890625;1325.77977665273;-7.4615478515625E-06;73;1 mA
-0.888671875;1325.81029465265;-7.4798583984375E-06;74;1 mA
-0.888519287109375;1325.84081265257;-7.4737548828125E-06;75;1 mA
-0.88836669921875;1325.8713306525;-7.31811523437501E-06;76;1 mA
-0.888214111328125;1325.90184865242;-7.2479248046875E-06;77;1 mA
-0.8880615234375;1325.93236665234;-7.11669921874999E-06;78;1 mA
-0.887908935546875;1325.96288465227;-7.061767578125E-06;79;1 mA
-0.88775634765625;1325.99340265219;-7.0465087890625E-06;80;1 mA
-0.887603759765625;1326.02392065211;-6.94580078125E-06;81;1 mA
-0.887451171875;1326.05443865203;-7.098388671875E-06;82;1 mA
-0.887298583984375;1326.08495665196;-6.915283203125E-06;83;1 mA
-0.88714599609375;1326.11547465188;-6.79931640625001E-06;84;1 mA
-0.886993408203125;1326.1459926518;-6.50939941406251E-06;85;1 mA
-0.8868408203125;1326.17651065173;-6.6192626953125E-06;86;1 mA
-0.886688232421875;1326.20702865165;-6.683349609375E-06;87;1 mA
-0.88653564453125;1326.23754665157;-6.61315917968749E-06;88;1 mA
-0.886383056640625;1326.2680646515;-6.5826416015625E-06;89;1 mA
-0.88623046875;1326.29858265142;-6.43005371093749E-06;90;1 mA
-0.886077880859375;1326.32910065134;-6.390380859375E-06;91;1 mA
-0.88592529296875;1326.35961865126;-6.3446044921875E-06;92;1 mA
-0.885772705078125;1326.39013665119;-6.256103515625E-06;93;1 mA
-0.8856201171875;1326.42065465111;-6.28051757812501E-06;94;1 mA
-0.885467529296875;1326.45117265103;-6.06384277343749E-06;95;1 mA
-0.88531494140625;1326.48169065096;-5.9967041015625E-06;96;1 mA
-0.885162353515625;1326.51220865088;-6.011962890625E-06;97;1 mA
-0.885009765625;1326.5427266508;-5.97229003906249E-06;98;1 mA
-0.884857177734375;1326.57324465072;-5.83496093749999E-06;99;1 mA
-0.88470458984375;1326.60376265065;-5.810546875E-06;100;1 mA
-0.884552001953125;1326.63428065057;-5.56030273437499E-06;101;1 mA
-0.8843994140625;1326.66479865049;-5.6640625E-06;102;1 mA
-0.884246826171875;1326.69531665042;-5.50537109375E-06;103;1 mA
-0.88409423828125;1326.72583465034;-5.6732177734375E-06;104;1 mA
-0.883941650390625;1326.75635265026;-5.56335449218751E-06;105;1 mA
-0.8837890625;1326.78687065019;-5.44128417968751E-06;106;1 mA
-0.883636474609375;1326.81738865011;-5.535888671875E-06;107;1 mA
-0.88348388671875;1326.84790665003;-5.31616210937499E-06;108;1 mA
-0.883331298828125;1326.87842464995;-5.1727294921875E-06;109;1 mA
-0.8831787109375;1326.90894264988;-5.1910400390625E-06;110;1 mA
-0.883026123046875;1326.9394606498;-5.12084960937501E-06;111;1 mA
-0.88287353515625;1326.96997864972;-5.17883300781249E-06;112;1 mA
-0.882720947265625;1327.00049664965;-4.91943359374999E-06;113;1 mA
-0.882568359375;1327.03101464957;-4.83093261718751E-06;114;1 mA
-0.882415771484375;1327.06153264949;-4.87670898437501E-06;115;1 mA
-0.88226318359375;1327.09205064941;-4.79736328124999E-06;116;1 mA
-0.882110595703125;1327.12256864934;-4.77294921875E-06;117;1 mA
-0.8819580078125;1327.15308664926;-4.70581054687499E-06;118;1 mA
-0.881805419921875;1327.18360464918;-4.656982421875E-06;119;1 mA
-0.88165283203125;1327.21412264911;-4.49218749999999E-06;120;1 mA
-0.881500244140625;1327.24464064903;-4.559326171875E-06;121;1 mA
-0.88134765625;1327.27515864895;-4.376220703125E-06;122;1 mA
-0.881195068359375;1327.30567664888;-4.40368652343751E-06;123;1 mA
-0.88104248046875;1327.3361946488;-4.315185546875E-06;124;1 mA
-0.880889892578125;1327.36671264872;-4.31213378906251E-06;125;1 mA
-0.8807373046875;1327.39723064864;-4.150390625E-06;126;1 mA
-0.880584716796875;1327.42774864857;-4.15649414062499E-06;127;1 mA
-0.88043212890625;1327.45826664849;-4.2144775390625E-06;128;1 mA
-0.880279541015625;1327.48878464841;-4.19006347656251E-06;129;1 mA
-0.880126953125;1327.51930264834;-3.84521484375E-06;130;1 mA
-0.879974365234375;1327.54982064826;-3.82385253906251E-06;131;1 mA
-0.87982177734375;1327.58033864818;-3.77807617187501E-06;132;1 mA
-0.879669189453125;1327.6108566481;-3.79638671875E-06;133;1 mA
-0.8795166015625;1327.64137464803;-3.88488769531251E-06;134;1 mA
-0.879364013671875;1327.67189264795;-3.6773681640625E-06;135;1 mA
-0.87921142578125;1327.70241064787;-3.52783203125E-06;136;1 mA
-0.879058837890625;1327.7329286478;-3.54614257812499E-06;137;1 mA
-0.87890625;1327.76344664772;-3.40576171875E-06;138;1 mA
-0.878753662109375;1327.79396464764;-3.6468505859375E-06;139;1 mA
-0.87860107421875;1327.82448264757;-3.36303710937499E-06;140;1 mA
-0.878448486328125;1327.85500064749;-3.50036621093749E-06;141;1 mA
-0.8782958984375;1327.88551864741;-3.314208984375E-06;142;1 mA
-0.878143310546875;1327.91603664733;-3.082275390625E-06;143;1 mA
-0.87799072265625;1327.94655464726;-3.11889648437499E-06;144;1 mA
-0.877838134765625;1327.97707264718;-3.22570800781249E-06;145;1 mA
-0.877685546875;1328.0075906471;-3.094482421875E-06;146;1 mA
-0.877532958984375;1328.03810864703;-3.0853271484375E-06;147;1 mA
-0.87738037109375;1328.06862664695;-2.76794433593749E-06;148;1 mA
-0.877227783203125;1328.09914464687;-2.9937744140625E-06;149;1 mA
-0.8770751953125;1328.12966264679;-2.67944335937501E-06;150;1 mA
-0.876922607421875;1328.16018064672;-2.76794433593749E-06;151;1 mA
-0.87677001953125;1328.19069864664;-2.76794433593749E-06;152;1 mA
-0.876617431640625;1328.22121664656;-2.70690917968749E-06;153;1 mA
-0.87646484375;1328.25173464649;-2.5604248046875E-06;154;1 mA
-0.876312255859375;1328.28225264641;-2.55126953125E-06;155;1 mA
-0.87615966796875;1328.31277064633;-2.3529052734375E-06;156;1 mA
-0.876007080078125;1328.34328864626;-2.46582031250001E-06;157;1 mA
-0.8758544921875;1328.37380664618;-2.45056152343751E-06;158;1 mA
-0.875701904296875;1328.4043246461;-2.4444580078125E-06;159;1 mA
-0.87554931640625;1328.43484264602;-2.22167968750001E-06;160;1 mA
-0.875396728515625;1328.46536064595;-2.23388671874999E-06;161;1 mA
-0.875244140625;1328.49587864587;-2.093505859375E-06;162;1 mA
-0.875091552734375;1328.52639664579;-2.06298828125E-06;163;1 mA
-0.87493896484375;1328.55691464572;-2.1087646484375E-06;164;1 mA
-0.874786376953125;1328.58743264564;-2.06909179687501E-06;165;1 mA
-0.8746337890625;1328.61795064556;-2.05078124999999E-06;166;1 mA
-0.874481201171875;1328.64846864549;-1.861572265625E-06;167;1 mA
-0.87432861328125;1328.67898664541;-1.6448974609375E-06;168;1 mA
-0.874176025390625;1328.70950464533;-1.77001953125E-06;169;1 mA
-0.8740234375;1328.74002264525;-1.76086425781249E-06;170;1 mA
-0.873870849609375;1328.77054064518;-1.69677734375E-06;171;1 mA
-0.87371826171875;1328.8010586451;-1.690673828125E-06;172;1 mA
-0.873565673828125;1328.83157664502;-1.6143798828125E-06;173;1 mA
-0.8734130859375;1328.86209464495;-1.53198242187499E-06;174;1 mA
-0.873260498046875;1328.89261264487;-1.45874023437501E-06;175;1 mA
-0.87310791015625;1328.92313064479;-1.495361328125E-06;176;1 mA
-0.872955322265625;1328.95364864471;-1.47399902343751E-06;177;1 mA
-0.872802734375;1328.98416664464;-1.2786865234375E-06;178;1 mA
-0.872650146484375;1329.01468464456;-1.18103027343749E-06;179;1 mA
-0.87249755859375;1329.04520264448;-1.1749267578125E-06;180;1 mA
-0.872344970703125;1329.07572064441;-1.1932373046875E-06;181;1 mA
-0.8721923828125;1329.10623864433;-1.1566162109375E-06;182;1 mA
-0.872039794921875;1329.13675664425;-9.55200195312506E-07;183;1 mA
-0.87188720703125;1329.16727464418;-8.544921875E-07;184;1 mA
-0.871734619140625;1329.1977926441;-8.63647460937506E-07;185;1 mA
-0.87158203125;1329.22831064402;-8.20922851562503E-07;186;1 mA
-0.871429443359375;1329.25882864394;-9.21630859374994E-07;187;1 mA
-0.87127685546875;1329.28934664387;-7.59887695312503E-07;188;1 mA
-0.871124267578125;1329.31986464379;-6.74438476562497E-07;189;1 mA
-0.8709716796875;1329.35038264371;-6.256103515625E-07;190;1 mA
-0.870819091796875;1329.38090064364;-4.21142578125006E-07;191;1 mA
-0.87066650390625;1329.41141864356;-6.28662109374997E-07;192;1 mA
-0.870513916015625;1329.44193664348;-4.30297851562497E-07;193;1 mA
-0.870361328125;1329.4724546434;-4.24194335937503E-07;194;1 mA
-0.870208740234375;1329.50297264333;-2.10571289062503E-07;195;1 mA
-0.87005615234375;1329.53349064325;-1.40380859374997E-07;196;1 mA
-0.869903564453125;1329.56400864317;-1.373291015625E-07;197;1 mA
-0.8697509765625;1329.5945266431;-2.50244140624994E-07;198;1 mA
-0.869598388671875;1329.62504464302;-6.103515625E-08;199;1 mA
-0.86944580078125;1329.65556264294;-1.983642578125E-07;200;1 mA
-0.869293212890625;1329.68608064287;-7.62939453125E-08;201;1 mA
-0.869140625;1329.71659864279;6.71386718749944E-08;202;1 mA
-0.868988037109375;1329.74711664271;3.0517578125E-08;203;1 mA
-0.86883544921875;1329.77763464263;7.01904296875056E-08;204;1 mA
-0.868682861328125;1329.80815264256;2.74658203125028E-08;205;1 mA
-0.8685302734375;1329.83867064248;2.44140625000056E-08;206;1 mA
-0.868377685546875;1329.8691886424;3.14331054687506E-07;207;1 mA
-0.86822509765625;1329.89970664233;3.87573242187494E-07;208;1 mA
-0.868072509765625;1329.93022464225;4.30297851562497E-07;209;1 mA
-0.867919921875;1329.96074264217;2.80761718749994E-07;210;1 mA
-0.867767333984375;1329.99126064209;3.75366210937506E-07;211;1 mA
-0.86761474609375;1330.02177864202;4.66918945312506E-07;212;1 mA
-0.867462158203125;1330.05229664194;6.83593750000003E-07;213;1 mA
-0.8673095703125;1330.08281464186;7.171630859375E-07;214;1 mA
-0.867156982421875;1330.11333264179;7.53784179687494E-07;215;1 mA
-0.86700439453125;1330.14385064171;5.43212890625006E-07;216;1 mA
-0.866851806640625;1330.17436864163;6.68334960937503E-07;217;1 mA
-0.86669921875;1330.20488664156;8.17871093750006E-07;218;1 mA
-0.866546630859375;1330.23540464148;9.21630859374994E-07;219;1 mA
-0.86639404296875;1330.2659226414;9.73510742187503E-07;220;1 mA
-0.866241455078125;1330.29644064132;9.46044921875E-07;221;1 mA
-0.8660888671875;1330.32695864125;9.97924804687494E-07;222;1 mA
-0.865936279296875;1330.35747664117;1.08947753906249E-06;223;1 mA
-0.86578369140625;1330.38799464109;1.1749267578125E-06;224;1 mA
-0.865631103515625;1330.41851264102;1.29089355468751E-06;225;1 mA
-0.865478515625;1330.44903064094;1.45874023437501E-06;226;1 mA
-0.865325927734375;1330.47954864086;1.30615234375001E-06;227;1 mA
-0.86517333984375;1330.51006664079;1.23291015625E-06;228;1 mA
-0.865020751953125;1330.54058464071;1.35498046875E-06;229;1 mA
-0.8648681640625;1330.57110264063;1.47094726562499E-06;230;1 mA
-0.864715576171875;1330.60162064055;1.47705078125E-06;231;1 mA
-0.86456298828125;1330.63213864048;1.58081054687501E-06;232;1 mA
-0.864410400390625;1330.6626566404;1.6937255859375E-06;233;1 mA
-0.8642578125;1330.69317464032;1.7547607421875E-06;234;1 mA
-0.864105224609375;1330.72369264025;1.5838623046875E-06;235;1 mA
-0.86395263671875;1330.75421064017;1.68762207031251E-06;236;1 mA
-0.863800048828125;1330.78472864009;1.7547607421875E-06;237;1 mA
-0.8636474609375;1330.81524664001;1.92871093749999E-06;238;1 mA
